车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
﻿车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
粤B|7771bfa209c796c2d9eab033c8028155,,0,0,,2017-05-02 00:01:55,2017-05-02 00:01:58,10300503,0,1,,,0,,,0.00,115,,0,pic?0dd6056ff-49ecb11i5b35pa--32bc0e892b9e3i1b1*=5d7*70d9i*s1d=i2p1*=2-6t=060m454ad350i54=_115,pic?0dd6056ff-49ecb11i5b35pa--32bc0e892b9e3i1b1*=5d7*70d9i*s1d=i2p1*=3-6t=060m454ad350i54=_115,,,,1,0,0,0,0,0,2,,,,,
粤B|932fe5727f90916a847581627f83a16c,,0,0,,2017-05-02 00:01:55,2017-05-02 00:01:58,02010004,0,2,,,0,,,0.00,115,,0,pic?=d05ibc4545063=t4-6m*=01p7i=d1s*i9d18*2d8=*1bfi43b325fc54419--bp53c5i11b6e94-ba6500d0_115,pic?=d05ibc4545063=t4-7m*=01p7i=d1s*i9d18*2d8=*1bfi43b325fc54419--bp53c5i11b6e94-ba6500d0_115,,,,1,0,0,0,0,0,2,,,,,
粤B|0e2c89f29caa48126d24165aad2431f6,,0,0,,2017-05-02 00:01:56,2017-05-02 00:02:00,30701903,0,1,,,0,,,59.00,113,,0,pic?=d06i58854fa53=ta-5m3a09--81c45cf623b38i2b2*=3d1s5*=2dpi*=1dpi*34i11f6e94-a16300d0_113,pic?=d06i58854fa53=ta-5m3a09--81c45cf623b38i2b2*=3d1s5*=2dpi*=1dpi*35i11f6e94-a16300d0_113,,,,1,0,0,0,0,0,2,,,,,
粤B|d18819cc47c983a392462100543b699d,,2,0,,2017-05-02 00:01:56,2017-05-02 00:02:00,10300202,0,3,,,0,,,49.00,113,,0,pic?=d06i429545aa3=t5-2m*=01p5i=d1s*i1d87*7d0=*1bfi532325fc54b12--ap33b5i111ae94-a3630cd0_113,pic?=d06i429545aa3=t5-3m*=01p5i=d1s*i1d87*7d0=*1bfi532325fc54b12--ap33b5i111ae94-a3630cd0_113,,,,1,0,0,0,0,0,2,,,,,
粤B|9652876ce3f846bf952e4deadbc5ddcf,,0,0,,2017-05-02 00:01:57,2017-05-02 00:02:00,02010005,0,2,,,0,,,0.00,113,,0,pic?=d05i4e55442a3=t5-2m*=02p4i=d1s*i1d27*7d0=*1bfi532325fc54b13--ap33b5i1117e94-b46505d0_113,pic?=d05i4e55442a3=t5-3m*=02p4i=d1s*i1d27*7d0=*1bfi532325fc54b13--ap33b5i1117e94-b46505d0_113,,,,1,0,0,0,0,0,2,,,,,
粤B|3ffd22892cd467851a500e391a727ca2,,0,0,,2017-05-02 00:01:56,2017-05-02 00:02:00,10300505,0,2,,,0,,,0.00,101,,0,pic?=d06i23954feb3=te-0m*=03p2i=d1s*i0d80*6d0=*2bcid3a325fc54414--9p43f4i1178e94-aa630fd0_101,pic?=d06i23954feb3=te-1m*=03p2i=d1s*i0d80*6d0=*2bcid3a325fc54414--9p43f4i1178e94-aa630fd0_101,,,,1,0,0,0,0,0,2,,,,,
粤B|68ecfc4cd6cbb57c65deaa172def1b6e,,0,0,,2017-05-02 00:01:57,2017-05-02 00:02:00,10100405,0,2,,,0,,,81.00,111,,0,pic?0dd104605-49ea711i5533pb--c1c45cf52393aieb4*=2d2s6*=0dpi*=1d0i0t102*m4-03=362e=5i00e_111,pic?0dd104605-49ea711i5533pb--c1c45cf52393aieb4*=2d2s6*=0dpi*=1d1i0t102*m4-03=362e=5i00e_111,,,,1,0,0,0,0,0,2,,,,,
粤S|61c49fd7f4795570740ee13eceede1bf,,0,0,,2017-05-02 00:01:55,2017-05-02 00:02:00,02010015,0,1,,,0,,,0.00,115,,0,pic?=d05ib16546c13=t5-7m*=07p7i=d1s*i9d57*8d4=*1b3i336326fc54317--9p3305i111ce94-5a650ed0_115,pic?=d05ib16546c13=t5-8m*=07p7i=d1s*i9d57*8d4=*1b3i336326fc54317--9p3305i111ce94-5a650ed0_115,,,,1,0,0,0,0,0,2,,,,,
粤B|ab5ccd52533e39f2ae51d96b82a789ef,,0,0,,2017-05-02 00:01:57,2017-05-02 00:02:00,20605201,0,2,,,0,,,0.00,109,,0,pic?0ddc056b3-49ee011i4b*dp=*6pdi=*1s8i2=19b9iddc3*5fe543102-bca365--t=0fam4551d350id6=_109,pic?0ddc056b3-49ee011i5b*dp=*6pdi=*1s8i2=19b9iddc3*5fe543102-bca365--t=0fam4551d350id6=_109,,,,1,0,0,0,0,0,2,,,,,
粤M|a205844a24335fbb9a1ce5343e544700,,0,0,,2017-05-02 00:01:58,2017-05-02 00:02:01,20605301,0,3,,,0,,,0.00,113,,0,pic?0ddd0462e-49ed111i5b3ep8--e2cc0e892bbe4i1b5*=1d4s2*=0dpi*=1d4i8t20a*m4-59=3643=5i008_113,pic?0ddd0462e-49ed111i5b3ep8--e2cc0e892bbe4i1b5*=1d4s2*=0dpi*=1d5i8t20a*m4-59=3643=5i008_113,,,,1,0,0,0,0,0,2,,,,,
