监测点id,方向,卡口经度,卡口纬度,2017-05-05 00:00:00-2017-05-05 00:30:00,2017-05-05 00:30:00-2017-05-05 01:00:00,2017-05-05 01:00:00-2017-05-05 01:30:00,2017-05-05 01:30:00-2017-05-05 02:00:00,2017-05-05 02:00:00-2017-05-05 02:30:00,2017-05-05 02:30:00-2017-05-05 03:00:00,2017-05-05 03:00:00-2017-05-05 03:30:00,2017-05-05 03:30:00-2017-05-05 04:00:00,2017-05-05 04:00:00-2017-05-05 04:30:00,2017-05-05 04:30:00-2017-05-05 05:00:00,2017-05-05 05:00:00-2017-05-05 05:30:00,2017-05-05 05:30:00-2017-05-05 06:00:00,2017-05-05 06:00:00-2017-05-05 06:30:00,2017-05-05 06:30:00-2017-05-05 07:00:00,2017-05-05 07:00:00-2017-05-05 07:30:00,2017-05-05 07:30:00-2017-05-05 08:00:00,2017-05-05 08:00:00-2017-05-05 08:30:00,2017-05-05 10:30:00-2017-05-05 11:00:00,2017-05-05 11:00:00-2017-05-05 11:30:00,2017-05-05 12:00:00-2017-05-05 12:30:00,2017-05-05 12:30:00-2017-05-05 13:00:00,2017-05-05 14:00:00-2017-05-05 14:30:00,2017-05-05 15:00:00-2017-05-05 15:30:00,2017-05-05 15:30:00-2017-05-05 16:00:00,2017-05-05 16:30:00-2017-05-05 17:00:00,2017-05-05 17:30:00-2017-05-05 18:00:00,2017-05-05 18:00:00-2017-05-05 18:30:00,2017-05-05 18:30:00-2017-05-05 19:00:00,2017-05-05 19:00:00-2017-05-05 19:30:00,2017-05-05 19:30:00-2017-05-05 20:00:00,2017-05-05 20:00:00-2017-05-05 20:30:00,2017-05-05 20:30:00-2017-05-05 21:00:00,2017-05-05 21:00:00-2017-05-05 21:30:00,2017-05-05 21:30:00-2017-05-05 22:00:00,2017-05-05 22:00:00-2017-05-05 22:30:00,2017-05-05 22:30:00-2017-05-05 23:00:00,2017-05-05 23:00:00-2017-05-05 23:30:00,2017-05-05 23:30:00-2017-05-06 00:00:00
20501807,,,,422.0,337.0,233.0,182.0,163.0,128.0,123.0,139.0,223.0,327.0,392.0,529.0,694.0,796.0,1096.0,1445.0,1674.0,1847.0,1735.0,1605.0,1599.0,2072.0,2042.0,2174.0,2324.0,2313.0,2123.0,2245.0,1908.0,1773.0,1610.0,1369.0,1361.0,1202.0,1102.0,963.0,813.0,639.0
30606707,,,,407.0,353.0,277.0,186.0,195.0,186.0,139.0,162.0,167.0,200.0,201.0,275.0,589.0,1284.0,1900.0,2127.0,2163.0,1289.0,1044.0,2458.0,2225.0,1526.0,1016.0,1863.0,2316.0,3319.0,3301.0,2513.0,2341.0,2903.0,2710.0,2636.0,2775.0,2694.0,1270.0,1014.0,791.0,653.0
20602603,,,,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010335,,,,399.0,306.0,239.0,200.0,220.0,146.0,125.0,119.0,126.0,120.0,133.0,146.0,275.0,471.0,608.0,778.0,858.0,929.0,950.0,794.0,812.0,974.0,844.0,853.0,791.0,949.0,1026.0,963.0,823.0,892.0,999.0,896.0,817.0,827.0,794.0,715.0,652.0,524.0
20602602,,,,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30606703,,,,391.0,369.0,259.0,217.0,161.0,148.0,148.0,117.0,89.0,123.0,141.0,169.0,309.0,629.0,1115.0,1686.0,2069.0,2117.0,2545.0,1756.0,1755.0,2312.0,2390.0,2475.0,2603.0,2727.0,2675.0,2113.0,2282.0,2050.0,2150.0,2082.0,1853.0,1804.0,1617.0,1343.0,1106.0,727.0
20502004,,,,367.0,317.0,257.0,226.0,180.0,116.0,93.0,101.0,102.0,81.0,122.0,165.0,228.0,576.0,1071.0,1134.0,1051.0,1338.0,1234.0,981.0,1023.0,1154.0,1505.0,1423.0,1311.0,1277.0,1137.0,1001.0,946.0,1056.0,1213.0,768.0,1151.0,1022.0,986.0,940.0,767.0,657.0
2010336,,,,359.0,316.0,240.0,248.0,196.0,177.0,150.0,138.0,124.0,132.0,148.0,197.0,286.0,525.0,866.0,1049.0,1113.0,879.0,943.0,876.0,885.0,1141.0,1026.0,961.0,1005.0,804.0,796.0,927.0,810.0,800.0,727.0,853.0,862.0,882.0,857.0,768.0,657.0,505.0
20606603,,,,354.0,324.0,268.0,199.0,170.0,159.0,124.0,124.0,100.0,119.0,136.0,191.0,264.0,450.0,754.0,1201.0,1486.0,1267.0,1237.0,1093.0,966.0,1289.0,1322.0,1335.0,1548.0,1948.0,2045.0,1883.0,1449.0,1266.0,1112.0,1202.0,1122.0,1026.0,993.0,852.0,768.0,578.0
20504603,,,,352.0,284.0,230.0,269.0,211.0,175.0,186.0,169.0,188.0,209.0,235.0,413.0,502.0,772.0,861.0,951.0,1002.0,1332.0,1132.0,1221.0,1262.0,1345.0,1273.0,1329.0,1509.0,1431.0,1348.0,1489.0,1427.0,1336.0,1308.0,1251.0,1181.0,1160.0,1129.0,988.0,1045.0,1120.0
